Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
BIOLOGY,308,[BSCI] Marine Biology,01,26633,3,"TU,TH14.55-16.10",VMMC 6,Jan 10--Apr 29,K Turner
BIOLOGY,340,Introduction to Mathematical Biology,01,26832,3,"TU,TH13.30-14.45",VECS 120,Jan 10--Apr 29,A Dimitrov
BIOLOGY,353,Advanced Human Physiology,01,26074,4,"W,F10.35-11.50",VUB 121,Jan 10--Apr 29,D Wilmington
BIOLOGY,353,Advanced Human Physiology,01 Lab,26075,0,M13.30-16.10,VSCI 114,Jan 10--Apr 29,""
BIOLOGY,353,Advanced Human Physiology,02 Lab,26076,0,M16.20-19,VSCI 114,Jan 10--Apr 29,""
BIOLOGY,353,Advanced Human Physiology,03 Lab,26077,0,TU10.35-13.15,VSCI 114,Jan 10--Apr 29,""
BIOLOGY,372,[M] General Ecology,01,26093,4,"TU,TH10.35-11.50",VUB 1,Jan 10--Apr 29,J Piovia-Scott
BIOLOGY,372,[M] General Ecology,01 Lab,26094,0,TH7.45-10.25,VSCI 109,Jan 10--Apr 29,""
BIOLOGY,372,[M] General Ecology,02 Lab,26095,0,TH12.05-14.45,VSCI 109,Jan 10--Apr 29,""
BIOLOGY,372,[M] General Ecology,03 Lab,26133,0,TH14.55-17.35,VSCI 109,Jan 10--Apr 29,""
BIOLOGY,446,Mutualism and Symbiosis,01,26879,3,"M,W9.10-10.25",VECS 125,Jan 10--Apr 29,S Porter
BIOLOGY,473,[CAPS] [M] Evolution and Society,01,30564,3,"TU,TH12.05-13.20",VECS 122,Jan 10--Apr 29,S Rudman
BIOLOGY,475,Systems Biology of Reproduction,01,26594,3,"TU,TH10.35-11.50",VSCI 240,Jan 10--Apr 29,M Skinner
BIOLOGY,497,Instructional Practicum,01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,""
BIOLOGY,499,Special Problems,01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,(multiple)
BIOLOGY,500,Seminar,01,26809,1,ARRGT,ARR ARR,Jan 10--Apr 29,C Schultz
BIOLOGY,500,Seminar,02,26810,1,ARRGT,ARR ARR,Jan 10--Apr 29,""
BIOLOGY,501,Proposal Defense Seminar,01,26811,2,ARRGT,ARR ARR,Jan 10--Apr 29,""
BIOLOGY,521,Quantitative Genetics,01,30586,3,"TU,TH13.30-14.45",VC ARR,Jan 10--Apr 29,P Carter
BIOLOGY,546,Mutualism and Symbiosis,01,26880,3,"M,W9.10-10.25",VECS 125,Jan 10--Apr 29,S Porter
BIOLOGY,575,Systems Biology of Reproduction,01,26595,3,"TU,TH10.35-11.50",VSCI 240,Jan 10--Apr 29,M Skinner
